Entity,Year,Emigration_Rate,Schooling,Happiness,GDP,Unemployment,Undernourishment,Temp_5yr_avg,Collapse_Index
Iceland,2020,0.056970864041284576,13.53,7.554,59627.242,5.478,2.5,0.3756223208333333,-0.9684772456242559
India,2015,0.011503750924039808,7.31,4.404,6488.146,7.631,12.2,0.0914707344,0.24578355598970675
India,2020,0.01178707574467544,7.8,3.819,7399.531,7.859,13.1,0.3756223208333333,0.3718884662204492
Indonesia,2015,0.012487892965651708,8.5,5.314,10893.662,4.514,7.3,0.0914707344,-0.16896390638432549
Indonesia,2020,0.01254202915904173,9.06,5.345,12388.545,4.255,6.3,0.3756223208333333,-0.2179010243698872
Iran,2015,0.014084010449608273,9.37,4.813,13905.192,11.166,6.7,0.0914707344,0.11947621471541003
Iran,2020,0.01644543201265869,9.8,4.721,14397.153,9.687,6.5,0.3756223208333333,0.08184230888655124
Iraq,2015,0.044007653245620705,7.76,4.575,13516.027,10.842,16.3,0.0914707344,0.43159921698957876
Iraq,2020,0.05420126248551581,8.27,4.854,12827.635,15.778,15.8,0.3756223208333333,0.5744905355091747
Ireland,2015,0.16211047024591405,13.57,6.907,81053.35,9.908,2.5,0.0914707344,-0.6239028355332096
Ireland,2020,0.1464367412849752,13.74,7.085,101970.81,5.623,2.5,0.3756223208333333,-1.0322533547579715
Israel,2015,0.03739701246107621,12.04,7.267,40967.37,5.176,2.5,0.0914707344,-0.8090204555349285
Israel,2020,0.03551358009540497,12.04,7.157,42915.94,4.169,2.5,0.3756223208333333,-0.8462973836092405
Italy,2015,0.04550908312254064,11.11,5.977,47311.824,11.896,2.5,0.0914707344,-0.3752158187450954
Italy,2020,0.04817806516451261,11.51,6.483,45505.07,9.164,2.5,0.3756223208333333,-0.5401849575683219
Jamaica,2015,0.38698093441083364,9.81,5.51,9778.118,8.825,7.9,0.0914707344,0.9057005049670817
Jamaica,2020,0.41541749610084977,10.1,6.309,9178.32,6.501,7.0,0.3756223208333333,0.7363668590157441
Japan,2015,0.007414885593237518,12.6,5.921,43386.71,3.385,2.7,0.0914707344,-0.7186863422925247
Japan,2020,0.007338026419051801,12.83,5.94,42992.48,2.809,2.9,0.3756223208333333,-0.7347611338175744
Jordan,2015,0.06099910631311729,10.5,5.303,9581.689,13.075,7.0,0.0914707344,0.259213183236531
Jordan,2020,0.05611283771943388,10.81,4.395,9022.64,19.213,15.8,0.3756223208333333,0.8170606153360529
Kazakhstan,2015,0.1851825698435234,11.69,5.919,30893.76,4.93,2.5,0.0914707344,-0.11208908096345346
Kazakhstan,2020,0.15550497697478036,11.79,6.152,32011.549,4.89,2.5,0.3756223208333333,-0.24021187927755125
Kenya,2015,0.009606777260057906,6.28,4.356,4679.622,2.762,20.5,0.0914707344,0.2700729914557911
Kenya,2020,0.00925066501393302,6.73,4.607,5057.4014,5.619,26.0,0.3756223208333333,0.4355160590255037
Kuwait,2015,0.035050000456387,6.49,6.239,57763.516,2.2,2.5,0.0914707344,-0.8815678034431464
Kuwait,2020,0.03407318757150331,6.62,6.106,49372.574,3.557,2.5,0.3756223208333333,-0.7373626191370349
Kyrgyzstan,2015,0.10688608028556405,11.05,5.185,5600.2144,3.338,5.9,0.0914707344,0.0675047077226589
Kyrgyzstan,2020,0.087739713868685,11.18,5.744,5537.7954,4.63,5.1,0.3756223208333333,-0.053389248004140286
Laos,2015,0.08804632172178298,5.47,4.876,6703.741,2.494,8.0,0.0914707344,0.08145114415771142
Laos,2020,0.08290889281938939,6.05,5.03,7995.595,2.361,6.3,0.3756223208333333,-0.011389564524643448
Latvia,2015,0.08874326676016774,11.79,5.56,30599.613,9.873,2.5,0.0914707344,-0.11247508870014389
Latvia,2020,0.08777356914532967,11.96,6.032,34225.9,8.098,2.5,0.3756223208333333,-0.29541374005087173
Liberia,2015,0.03229790043258454,5.06,3.622,1714.0905,2.557,35.6,0.0914707344,0.7972624851639032
Liberia,2020,0.028612847535765817,5.8,4.625,1497.377,4.109,37.5,0.3756223208333333,0.701310453252082
Libya,2015,0.01825982784290761,9.05,5.615,12192.139,19.676,7.8,0.0914707344,0.319709293705578
Libya,2020,0.02059541519484407,9.57,5.41,9976.037,19.613,11.0,0.3756223208333333,0.4477558103320887
Lithuania,2015,0.14090614848864552,12.44,5.813,35251.297,9.12,2.5,0.0914707344,-0.0959567443660988
Lithuania,2020,0.1565359904941973,12.5,6.255,43091.797,8.487,2.5,0.3756223208333333,-0.22959708314506672
Luxembourg,2015,0.07216174456578994,11.41,6.871,130097.26,6.796,2.5,0.0914707344,-1.3893031578389792
Luxembourg,2020,0.06856201345708908,11.53,7.324,129865.63,6.766,2.5,0.3756223208333333,-1.4798786856068475
Malawi,2015,0.017978603837257683,4.86,4.156,1597.6914,4.954,15.5,0.0914707344,0.32660698511802694
Malawi,2020,0.019090621246106446,5.41,3.6,1656.4398,5.728,19.0,0.3756223208333333,0.5308370368152099
Malaysia,2015,0.061370618243720476,11.49,6.005,27699.627,3.1,3.5,0.0914707344,-0.4520280073572054
Malaysia,2020,0.06252493024841814,11.96,5.384,29200.453,4.54,2.5,0.3756223208333333,-0.31998471400848144
Mali,2015,0.060084261719262205,2.78,4.073,2686.5598,1.401,4.8,0.0914707344,0.08830498394796296
Mali,2020,0.05526697101023647,3.55,4.723,2796.4104,3.528,4.6,0.3756223208333333,0.02694265527551378
Malta,2015,0.12248920171334313,11.53,6.488,46127.62,5.389,2.5,0.0914707344,-0.49271984310607575
Malta,2020,0.09467360848455844,12.09,6.602,50392.96,4.347,2.5,0.3756223208333333,-0.6576413305648554
Mauritania,2015,0.0185395260011513,5.1,4.201,5969.5425,10.108,6.7,0.0914707344,0.2760858459357751
Mauritania,2020,0.018784009864056192,5.55,4.227,5963.2354,11.054,7.5,0.3756223208333333,0.32190356517832264
Mauritius,2015,0.0849496588595532,9.9,5.648,22335.283,7.41,6.8,0.0914707344,-0.05997259187913582
Mauritius,2020,0.08734904315746736,10.4,6.049,21994.666,8.626,7.2,0.3756223208333333,-0.07310716367532603
Mexico,2015,0.10063594227284504,9.65,6.778,21408.928,4.311,3.7,0.0914707344,-0.39196562698733467
Mexico,2020,0.09032178655151313,10.18,6.317,19728.482,4.44,3.2,0.3756223208333333,-0.32471254028101154
Moldova,2015,0.2269229926794128,10.8,5.897,11691.08,1.742,3.4,0.0914707344,0.07531672263036263
Moldova,2020,0.2647824224089198,10.84,5.766,13559.26,1.186,2.5,0.3756223208333333,0.1388937554205981
Mongolia,2015,0.04184136685426779,9.77,4.907,13974.597,4.861,9.0,0.0914707344,-0.0009781845728151107
Mongolia,2020,0.04666180055463953,10.0,5.677,14801.342,6.594,4.3,0.3756223208333333,-0.17483473556258833
Morocco,2015,0.08402009501383945,6.15,5.151,8198.809,9.46,3.7,0.0914707344,0.1611306848495942
