countries,countries_code,year,undernourishment_percent,minimum_calories,cereal_production,cereal_yield,land_usage,population,gdp_per_capita,continent,yearly_mean,yield_index_2001,prod_index_2001,yield_index_z,undernourishment_z,food_stress_score,total_num_of_emigrants,emigrant_index_2000
India,IND,2022,13.7,1803,362466720.0,3.5891004,100990760.0,1425423209.0,8594.392,Asia,0.300865,148.12018091534142,149.18548973902654,0.7185582055083369,0.4254478997637524,-0.2931103057445845,,
Mexico,MEX,2001,3.0,1792,31060786.0,2.8552,10878644.0,100099101.0,20078.219,North America,0.092416,100.0,100.0,-0.7725636272030887,-0.8254375227958712,-0.05287389559278255,,
Mexico,MEX,2002,3.4,1795,28773236.0,2.9131002,9877131.0,101548627.0,19744.793,North America,0.004266,102.02788596245446,92.63524754331715,-0.7097246067475186,-0.7786754509244834,-0.06895084417696484,,
Mexico,MEX,2003,4.0,1798,31336228.0,2.9640002,10572308.0,102978517.0,19701.463,North America,0.008699,103.81059820678063,100.88678374075917,-0.6544828952993964,-0.7085323431174017,-0.05404944781800525,,
Mexico,MEX,2004,4.3,1801,32315036.0,3.0786002,10496782.0,104394131.0,20127.225,North America,0.070052,107.82432754272907,104.03804977761992,-0.530107647127398,-0.6734607892138609,-0.14335314208646288,,
Mexico,MEX,2005,4.1,1805,29062836.0,3.1308002,9282902.0,105811504.0,20277.256,North America,0.092185,109.6525707481087,93.56761287367293,-0.47345504717470827,-0.6968418251495548,-0.22338677797484657,11329536.0,120.94303563225961
Mexico,MEX,2006,3.8,1808,32158036.0,3.2133002,10007761.0,107253666.0,20965.826,North America,0.044091,112.54203558419727,103.53258929120469,-0.38391789207706456,-0.7319133790530956,-0.34799548697603105,,
Mexico,MEX,2007,3.8,1811,34313188.0,3.3530002,10233546.0,108774356.0,21102.27,North America,0.036684,117.43486270664052,110.47108724164289,-0.23230164277838952,-0.7319133790530956,-0.4996117362747061,,
Mexico,MEX,2008,4.1,1815,36109144.0,3.4523003,10459480.0,110374286.0,20992.56,North America,0.095789,120.91273115718688,116.2531559890339,-0.12453135847643264,-0.6968418251495548,-0.5723104666731222,,
Mexico,MEX,2009,4.2,1818,31285670.0,3.4337,9111485.0,111999720.0,19385.543,North America,0.034867,120.2612776688148,100.72401258615929,-0.1447182426699195,-0.6851513071817078,-0.5404330645117883,,
Mexico,MEX,2010,4.1,1821,34925200.0,3.5012002,9975294.0,113623898.0,20058.385,North America,0.13055,122.62539226674139,112.44145592452168,-0.0714603532575327,-0.6968418251495548,-0.6253814718920221,12108928.0,129.26306166223102
Mexico,MEX,2011,3.9,1824,28408736.0,3.2405002,8766907.0,115243503.0,20457.6,North America,0.011309,113.49468338470162,91.46174214651232,-0.35439776336608386,-0.7202228610852486,-0.3658250977191647,,
Mexico,MEX,2012,3.8,1827,33614212.0,3.4534001,9733658.0,116818208.0,20898.936,North America,0.039828,120.95125035023817,108.22073852219967,-0.12333774680156699,-0.7319133790530956,-0.6085756322515287,,
Mexico,MEX,2013,3.8,1830,33210300.0,3.3869,9805578.0,118343572.0,20805.348,North America,0.06705,118.62216307088819,106.92034644583688,-0.1955102288344011,-0.7319133790530956,-0.5364031502186946,,
Mexico,MEX,2014,3.8,1833,36526604.0,3.5819001,10197589.0,119784265.0,21069.766,North America,0.106208,125.45181073129727,117.5971657639314,0.016123155380821777,-0.7319133790530956,-0.7480365344339174,,
Mexico,MEX,2015,3.7,1836,34704516.0,3.4701002,10000892.0,121072310.0,21408.928,North America,0.255577,121.53615158307649,111.7309652112474,-0.10521314748222008,-0.7436038970209425,-0.6383907495387224,12184226.0,130.06686939955034
Mexico,MEX,2016,3.7,1840,38464940.0,3.7488003,10260493.0,122251344.0,21578.264,North America,0.439195,131.29729265900812,123.83762600212371,0.19725975045024777,-0.7436038970209425,-0.9408636474711903,,
Mexico,MEX,2017,3.8,1843,37487836.0,3.7997,9865991.0,123400052.0,21777.523,North America,0.343641,133.0799943961894,120.69184598226201,0.25250113630871396,-0.7319133790530956,-0.9844145153618096,,
Mexico,MEX,2018,3.6,1846,36068400.0,3.8263001,9426335.0,124573713.0,21997.773,North America,0.263885,134.01163140935836,116.12198094407526,0.2813701942397787,-0.7552944149887896,-1.0366646092285683,,
Mexico,MEX,2019,3.5,1849,36164104.0,3.9924002,9058298.0,125762978.0,21704.186,North America,0.399228,139.82909078173157,116.43009935421466,0.4616384416995846,-0.7669849329566365,-1.2286233746562212,,
Mexico,MEX,2020,3.2,1852,36374788.0,3.8065002,9555894.0,126799053.0,19728.482,North America,0.432163,133.31816335107874,117.10839513204849,0.2598813855462297,-0.8020564868601773,-1.061937872406407,11452717.0,122.25799540397642
Mexico,MEX,2021,3.2,1855,36582136.0,3.8789,9431131.0,127648151.0,20782.588,North America,0.273691,135.85388063883443,117.77595067941937,0.3384568052024523,-0.8020564868601773,-1.1405132920626295,,
Mexico,MEX,2022,3.1,1859,36330010.0,3.9502,9196992.0,128613116.0,21391.857,North America,0.300865,138.35107873353883,116.9642326501332,0.41583861318380927,-0.8137470048280243,-1.2295856180118336,,
Philippines,PHL,2001,18.8,1696,17480298.0,2.6678002,6552289.0,81401488.0,4778.401,Asia,0.092416,100.0,100.0,-0.7725636272030887,1.0216643161239471,1.7942279433270358,,
Philippines,PHL,2002,18.6,1698,17590070.0,2.7306,6441894.0,83068889.0,4856.4995,Asia,0.004266,102.35399187690292,100.62797556426098,-0.6996194151301821,0.9982832801882533,1.6979026953184353,,
Philippines,PHL,2003,17.3,1701,18115690.0,2.8234,6416363.0,84731836.0,5003.3833,Asia,0.008699,105.83251324443263,103.63490370701918,-0.5918288985940505,0.8463065466062428,1.4381354452002935,,
Philippines,PHL,2004,16.2,1703,19910352.0,2.9923003,6653886.0,86394510.0,5229.4507,Asia,0.070052,112.16358331482246,113.90167375865103,-0.39564516389461596,0.7177108489599262,1.113356012854542,,
